Class,SKey,AY,YearAVG,Y1,Y2,Y3,Y4,E1,M1,S1,E2,M2,S2,E3,M3,S3,E4,M4,S4,ET1,MT1,ST1,ET2,MT2,ST2
6,16876,1819,89.6355,90.698533,94.493101,92.979298,95.980605,88.632268,90.6056,95.1405,91.18138,98.0854,94.8065,95.051551,94.0824,92.6115,93.318555,97.9768,99.422,88.910689,94.63,98,88.043571,97.254,99.11
5,16920,1819,95.009191,96.645004,95.859199,97.894604,96.58647,94.684739,98.5866,97.83,95.492969,95.8378,98.3725,100,97.4524,98.222,95.766588,96.2516,NULL,94.875714,97.754,NULL,96.192068,98.754,NULL
6,16989,1819,98.806477,99.244039,99.126024,99.69703,98.882518,98.292522,99.6274,99.2,98.275714,99.8096,98.784,100,99.8332,100,98.02025,99.3696,100,98.700689,99.876,100,98.112857,99.752,100
6,17021,1819,88.904257,91.160753,93.08759,93.541,95.508456,90.255205,84.3822,95.058,93.19997,92.8062,94.7335,97.178785,85.4452,98.924,94.851666,96.1024,99.271,92.557931,95.132,97.28,93.464642,98.25,100
4,17141,1819,98.558534,98.20508,97.987305,97.819654,98.424711,98.01479,99.412,97.55,98.296333,98.0438,99.404,98.580051,99.3258,NULL,95.6708,100,NULL,96.952068,100,NULL,97.676111,100,NULL
4,17147,1819,69.29242,74.085598,83.928976,84.125838,80.808359,80.958464,69.5092,78.6455,84.691694,75.4828,96.8595,91.13647,78.2676,NULL,83.317577,98.21375,NULL,85.773448,98.486666,NULL,85.748333,99.0625,NULL
5,17154,1819,68.431337,82.643231,83.807149,83.417914,86.35401,86.350727,79.7386,84.2955,86.965103,84.8234,80.24,92.147077,86.0256,86.124,90.782235,79.1262,NULL,88.142857,91.752,NULL,85.984482,68.504,NULL
12,4642,1516,76.241503,80.299948,80.500576,80.391113,79.571328,81.852222,84.785556,NULL,84.10184,73.0875,NULL,88.086893,80.7765,82.367083,87.513727,75.9115,69.959,82.085,73.37,68.61,85.738125,59.735,73.65
11,4657,1516,83.163176,84.381339,78.432978,83.362137,80.995063,78.838634,92.048333,NULL,87.49859,56.283,72.999583,87.251772,72.59125,74.7215,85.309227,75.933,75.9335,72.125882,82.56,82.39,90.881363,65.49,77.99
12,4666,1516,93.065341,93.233926,95.134598,96.29724,97.668001,88.556111,98.931111,NULL,94.43393,98.647,NULL,95.443389,96.436,97.401666,95.881318,98.801,95.4675,88.8,95.94,95.72,94.10875,98.065,95.44
12,4702,1516,95.054653,89.387104,87.740465,89.041058,90.999871,84.728518,97.146667,NULL,87.280937,93.4285,NULL,89.097898,97.078889,88.395,85.714818,93.00825,94.73,86.316666,95.57,88.46,87.94125,92.715,95.52
11,4798,1516,79.589923,85.922594,87.546342,90.370254,90.000076,82.244941,94.8555,NULL,83.904954,95.602,86.016666,85.529909,96.116,90.9185,85.018363,94.033333,89.8545,74.821764,86.89,85.47,83.496818,92.26,96.1
11,4970,1516,83.098638,82.975226,86.820475,87.864686,86.515749,80.465686,88.5725,NULL,88.269181,86.6085,85.151666,86.580545,91.341,83.9885,83.88959,86.176,91.5365,79.25,79.64,90.05,89.926363,86.28,89.85
10,5005,1516,83.354572,87.04533,90.715496,88.493865,86.915611,87.534545,92.109,87.826,90.065909,96.20925,87.4725,87.501227,93.119667,92.1645,87.054634,87.576286,84.493,84.928181,90.088571,86.92,89.900909,70.832857,77.16
10,5038,1516,81.476048,77.037309,91.103416,88.184665,90.665347,75.008477,79.816,62.7425,85.920886,93.88625,84.445,83.664681,92.319333,91.917,93.209576,93.420285,84.326,81.36409,94.772857,84.31,86.336363,90.137142,79.1
12,5090,1516,91.983409,90.380697,89.133764,91.399957,91.151263,85.120184,90.203333,NULL,84.908986,94.284,NULL,89.697565,95.494,91.289166,86.628272,94.97675,86.065,81.515,91.26,85.67,87.32375,88.17,94.82
12,5136,1516,90.8622,83.798763,87.909471,92.193229,94.701536,88.230185,80.078889,NULL,90.792104,87.2305,NULL,93.935798,95.4885,91.637916,93.995318,97.35975,85.583,84.765,92.9,88.05,90.02625,95.23,90.43
11,5201,1516,85.900956,84.250859,84.125825,76.076465,74.598647,79.068732,84.924,NULL,84.900636,79.869,83.715625,80.428954,76.79325,63.6255,75.359,60.241,72.649,76.66647,75.12,75.7,88.905,66.9,67.1
10,5222,1516,69.170869,72.019319,70.422847,76.695361,82.276352,81.378,65.899,64.855,73.143125,70.086,64.2065,75.512818,79.842,89.117,82.036385,86.823714,81.1335,80.901818,88.354285,80.91,80.423636,74.157142,77.64
12,5230,1516,82.550598,85.41424,87.534642,82.887773,84.599363,84.304444,88.224444,NULL,90.764583,86.344,NULL,88.704419,85.0015,80.879583,80.622363,89.09,79.26,83.545,89.31,73.91,86.573125,91.6,76.74
12,5262,1516,92.087208,89.559715,91.445228,93.089333,91.207854,83.78,93.475556,NULL,91.161625,94.777,NULL,90.876257,99.03,92.210625,89.852909,97.873,88.372,80.835,96.005,86.39,88.81875,96.81,95
10,5402,1516,90.318261,92.510143,87.562341,92.254735,96.437969,88.817909,96.607278,92.1945,83.539477,92.6435,85.8575,88.666272,93.890667,98.192,95.910906,98.370857,94.8125,87.047727,97.712857,94.92,84.301363,96.365714,91.05
12,5428,1516,78.838454,67.69091,60.328922,61.028912,63.83281,68.958889,76.612381,NULL,69.084761,65.028412,NULL,64.418814,79.03925,NULL,68.889909,57.26175,52.59375,70.284,57.73,52.15,55.946666,57.765,62.99
10,5518,1516,73.932882,78.991919,80.379162,85.724983,89.374581,80.324454,85.29925,77.1115,81.390977,89.5995,72.55,84.152636,86.824667,91.345,84.918605,92.376,90.455,80.766363,94.267142,88.79,84.726818,87.397142,89.79
12,5542,1516,87.564098,85.488916,84.469353,85.798777,77.563267,76.662222,88.024444,NULL,82.901972,88.349,NULL,84.646899,90.4635,85.017291,80.067909,80.88625,72.78,78.49,78.46,74.4,85.880625,69.52,86.77
4,12270,1516,73.858979,69.31049,69.651244,78.185016,82.333059,69.731636,62.3572,73.708,69.582022,67.6514,84.157,78.909617,70.8508,NULL,80.223933,90.563,NULL,69.279655,77.5,NULL,74.762272,78.13,NULL
4,12445,1516,96.831705,97.147275,97.224372,96.710687,98.074026,95.912298,97.6764,99.0065,96.92725,97.7514,99.484,97.430691,98.85,NULL,97.796,98.5,NULL,95.060689,100,NULL,95.961818,100,NULL
10,13228,1516,87.682327,93.852327,97.057277,97.685163,98.314174,94.270068,96.7465,95.4695,92.609727,99.0845,98.6085,95.730909,99.159,99.544,96.840007,98.508857,98.0725,96.422727,95.414285,97.76,96.968636,98.415714,98.82
4,13569,1516,87.631676,91.057319,95.207063,96.632815,97.216261,91.57844,94.0488,92.974,96.459159,94.9752,99.5,97.206139,98.25,NULL,98.862777,95.375,NULL,90.243448,100,NULL,95.611363,100,NULL
6,13660,1516,96.466456,94.763329,96.652239,96.658823,94.33544,93.240818,93.71175,97.292,94.413532,98.2924,97.1505,94.813111,97.4092,97.895,94.099388,94.0748,94.126,92.601379,93.62,92.5,95.942647,94.004,81.88
4,13711,1516,86.342664,90.848287,87.147352,91.65511,49.111328,90.15189,88.6318,91.2095,85.538977,84.5756,91.4885,95.610514,86.0516,NULL,81.0707,87,NULL,82.904137,83.75,NULL,85.896363,88.75,NULL
9,13735,1516,86.299729,88.110836,84.817583,90.154437,91.074605,90.933727,95.222111,90.4585,87.91137,84.307333,90.44,92.448289,89.666714,93.947,93.607068,89.489688,86.005,86.226363,NULL,NULL,89.701851,91.76,90.2
6,13746,1516,90.187928,87.001277,90.392329,91.822571,90.100121,88.155672,83.427,91.3395,92.832928,91.7148,83.6615,92.303788,86.019,92.9495,94.41868,81.064,91.875,83.34862,NULL,NULL,91.575882,89.256,87.5
4,13819,1617,78.122478,83.640846,87.922668,91.090063,83.29095,92.686781,65.8348,87.719,94.668361,79.0526,94.227,95.773132,92.9004,NULL,83.8084,90.197589,NULL,88.856206,91.53,NULL,92.172777,95.833333,NULL
3,13861,1617,91.694006,91.730331,95.154316,90.506832,96.176863,96.849555,87.3772,98.5635,95.373198,96.901,NULL,94.7506,98.25,NULL,98.765555,100,NULL,91.795555,100,NULL,95.902941,NULL,NULL
4,13909,1617,80.133208,76.819244,80.946479,87.687071,89.124803,86.384392,68.5401,82.062,79.630694,79.2812,86.1545,88.751485,92.8008,NULL,88.7794,99.4585,NULL,82.405172,100,NULL,71.234444,97.2925,NULL
5,13944,1617,91.014904,92.567972,93.875428,93.490791,95.513389,90.659828,96.2526,81.945,89.770534,96.1692,94.2475,90.072886,95.4754,97.1925,95.133125,96.9504,NULL,83.940714,99,NULL,89.711034,99.252,NULL
4,13945,1617,91.117521,92.03869,93.259187,96.639232,95.050778,93.706272,89.6149,90.1025,93.334916,94.9772,91.302,96.57447,98.95,NULL,94.375,99.4585,NULL,87.080344,100,NULL,92.538888,98.5425,NULL
3,14012,1617,98.396013,98.629059,98.515873,93.375226,98.755701,100,99.202,99.1415,98.668992,98.9016,NULL,98.0752,98,NULL,100,100,NULL,96.372777,100,NULL,97.888235,100,NULL
