Class,SKey,AY,YearAVG,Y1,Y2,Y3,Y4,E1,M1,S1,E2,M2,S2,E3,M3,S3,E4,M4,S4,ET1,MT1,ST1,ET2,MT2,ST2
10,5291,1718,81.24703,84.61338,85.636736,80.695385,80.458004,78.58875,88.45975,87.555,75.651674,93.0365,82.9025,79.525197,73.546,80.8915,79.505658,73.0585,78.154,73.994651,83.16,85.83,74.808372,71.62,78.27
7,5292,1718,79.056582,80.711201,81.530959,88.883228,89.723017,74.585337,81.366,86.6595,74.171295,81.179333,77.981,80.568,91.342222,92.4215,85.960029,84.708888,89.22,73.483214,93.724444,92.5,79.696896,95.733333,89.64
8,5296,1718,61.525604,55.686552,59.112032,60.988261,77.145288,61.078924,34.545667,62.435,62.043245,59.0585,52.551,54.595297,NULL,43.628667,84.496357,70.662666,NULL,65.486046,83.635555,NULL,57.664827,69.54,NULL
7,5325,1718,91.314349,91.685316,91.264736,96.484614,97.327753,91.897473,91.771,90.576,89.332816,88.256,86.0705,94.457777,96.605037,96.6225,95.799347,98.010666,97.2845,89.766428,99.208888,97.5,93.406896,98.062222,99.17
9,5326,1718,80.996745,79.632499,85.770141,88.53707,90.824642,83.260515,73.1715,81.1875,87.151492,77.1595,88.181,88.447664,84.95425,88.411,91.193526,87.603,88.493,87.003255,93.41,82.12,85.376818,84.69,91.08
8,5328,1718,85.212712,90.186882,85.210237,84.297779,82.667619,90.391984,85.888667,96.879,90.064547,83.279,86.6715,82.595517,88.397,71.273,85.972814,80.850666,72.3295,89.424651,82.844444,73.82,91.728275,88.791111,75.21
8,5329,1718,95.161263,92.77673,89.470896,86.844109,82.73374,90.107303,91.545333,96.645,87.28613,89.964667,96.4785,85.567519,80.0075,82.427,84.959555,77.712444,67.0605,87.72372,83.595555,71.93,91.431034,74.524444,80.32
8,5330,1718,87.443114,93.287511,95.25498,90.478933,90.460184,94.298787,95.230667,94.119,94.754545,97.882667,94.62,93.079593,90.23775,81.831,94.203111,90.549777,83.2765,93.637674,98.537777,77.23,95.504137,96.471111,84.91
8,5340,1718,76.901067,79.819906,83.656073,80.496757,82.915976,80.839606,82.237,78.674,75.064172,93.710667,84.4315,69.485195,93.9955,69.2255,76.512037,94.814222,66.596,81.373023,98.546666,54.18,71.256896,97.991111,76.22
8,5367,1718,79.72307,79.780238,77.389249,76.483659,81.638199,83.132833,82.351,89.6625,80.60731,78.657333,75.319,76.619103,67.851667,78.982,80.918407,83.126222,76.9925,82.272093,87.306666,74.37,82.846428,83.884444,75.7
9,5393,1718,81.391585,77.487204,81.665992,79.776093,76.61024,73.157833,68.90475,85.489,77.068931,76.971667,88.628,73.911551,79.01075,85.4875,76.153279,63.870333,83.545,68.352558,75.62,85.98,73.192272,75.41,82.63
7,5401,1718,76.487304,84.532594,88.98411,92.187487,92.913855,82.316149,82.944,88.331,82.096932,91.4,89.4365,88.644703,95.598666,88.6905,88.878091,92.209777,94.5705,83.016071,97.453333,95.42,86.305862,93.617777,95.07
12,5417,1718,91.789642,89.361598,79.903149,83.189888,82.86136,91.753333,84.242,NULL,86.42925,57.7765,NULL,94.616863,70.40425,80.4065,87.337227,74.02175,79.853,89.2,83.065,75.96,87.441,79.415,92.09
11,5418,1718,82.775606,74.842648,70.667396,79.426357,81.884323,79.68671,84.175,NULL,75.704848,65.10725,73.9215,83.847318,73.852166,76.37,84.609459,76.01825,87.6275,80.208823,84.85,94.55,81.109767,83.82,88.73
8,5423,1718,80.635842,81.599411,87.271456,85.188693,86.631904,81.835136,79.587333,89.189,84.212471,89.368667,93.36,76.292147,87.027,84.999,87.795,79.178888,82.233125,84.694883,NULL,NULL,87.176896,80.017777,74.15
7,5432,1718,80.627799,75.649675,76.799751,87.637931,89.589174,87.747046,63.16,77.4285,79.740182,68.817333,71.544,88.629666,76.440888,86.691,91.804686,86.003555,83.5695,80.1025,93.088888,90,84.161379,92.786666,84.75
8,5469,1718,58.543928,62.950776,65.05878,73.239379,82.989665,63.992333,61.801,46.022667,64.907295,54.895667,59.495,66.707256,64.84875,66.4845,80.5145,79.421333,76.558,64.531162,86.968888,73.82,64.73,87.662222,79.63
7,5486,1718,81.228615,83.491073,80.63825,87.330263,80.036594,84.246057,89.65,79.6315,79.125597,74.698,76.3855,84.491185,85.596888,85.756,82.511471,65.710666,73.4875,81.97,79.817777,97.92,79.646551,85.188888,73.66
11,5515,1718,82.836573,78.287205,85.68719,85.870767,65.712506,77.565578,81.61225,NULL,75.121651,93.538,90.759,77.187136,93.227,89.352,65.601974,66.70925,77.9485,70.112941,88.19,74.31,77.553488,62.95,79.83
12,5535,1718,96.475836,95.978079,94.293122,92.662584,91.13956,93.014667,99.544,NULL,90.0565,96.82475,NULL,93.282287,96.58275,97.1085,89.701641,90.75325,95.9835,92.7,89.005,95.15,91.931,93.245,92.71
11,5537,1718,75.728823,68.114406,71.943671,71.356063,66.443879,80.700447,54.7315,NULL,77.086754,66.41625,71.408,75.614196,78.894166,54.397667,69.235616,37.6155,75.569,77.031176,61.67,67.61,82.774285,39.71,76.13
7,5542,1718,78.560292,80.906214,86.215354,94.682683,93.076779,79.800375,83.998333,84.1795,86.475164,79.059667,88.936,90.399962,98.521777,93.971,93.77428,91.577777,86.9245,75.843214,94.724444,100,85.458275,96.784444,93.91
8,5560,1718,92.208907,92.928696,94.38673,92.935773,95.315782,89.035196,94.137333,96.33,90.767837,96.318667,96.5695,91.54599,94.9685,87.9615,93.844703,96.001777,90.988,90.308372,99.777777,91.46,93.885517,98.195555,93.79
11,5561,1718,95.977716,93.012169,95.728775,95.231732,93.833317,87.957657,94.2655,NULL,94.679911,95.623,95.9615,91.663863,97.694,93.1375,93.09009,91.81325,97.6725,87.029411,83.6,96.2,96.599069,93.4,96.55
6,5564,1718,72.375188,75.11339,82.099061,85.980916,81.245114,78.82476,71.521333,85.8055,78.315191,85.08,83.72,83.612065,87.863407,85.2255,79.407066,78.833333,82.2255,80.095714,88.713333,73.78,79.76,86.475555,76.98
6,5569,1718,89.905508,87.759023,88.167311,86.92092,94.320946,85.892457,86.983333,91.9875,81.574154,84.532,90.7385,80.662065,85.111704,84.5955,92.661666,91.463555,97.294,80.956071,92.933333,97.73,82.98074,92.293333,88.74
6,5580,1718,86.712453,88.257205,93.482558,94.224872,97.000054,92.421206,79.4285,95.034,92.338401,90.750222,97.369,94.668647,92.528888,98.4125,97.168533,95.244,99.092,90.640714,99.444444,97.73,91.601851,97.568888,97.73
12,5585,1718,88.968781,87.726095,89.025593,91.704159,89.048648,86.144667,90.102,NULL,83.98485,92.18275,NULL,91.648893,91.423,91.9595,89.524103,79.66325,93.824,79.94,86.005,93.73,88.733,89.25,91.75
7,5596,1718,93.287816,94.591793,94.241357,96.886108,98.026155,94.565118,96.803,95.7285,91.722745,93.805667,95.488,94.95837,97.319555,98.5175,96.036205,98.642666,99.718,90.620357,99.555555,100,93.585172,96.893333,100
6,5598,1718,92.261305,94.763956,96.214189,97.529405,98.050484,94.665858,94.470333,93.442,95.691148,93.463111,98.279,94.42277,98.754962,99.71,98.243333,98.115111,99.32,95.592142,100,97.73,94.825925,97.486666,98.87
10,5599,1718,87.211098,87.93361,86.142652,88.175805,89.190104,88.814856,84.41075,89.7915,91.085829,79.98225,85.2575,91.980015,81.5788,91.0215,91.399726,86.22725,88.2905,90.200232,90.47,90.9,90.785813,88.68,91.98
6,5600,1718,76.979948,72.503057,85.503241,86.791174,92.204758,80.776795,56.827,74.826,83.076166,79.891555,85.938,86.668833,85.77274,85.7795,89.928533,95.085333,95.8805,78.625,97.777777,95.8,77.128888,90.035555,84.69
5,5607,1718,69.269708,80.213164,55.666893,72.385181,79.373887,81.054129,79.762666,63.2985,63.147999,56.120888,57.385,79.393257,78.479703,70.493,84.5454,76.917555,86.07,77.923846,91.133333,92.4,62.842592,68.254444,86.76
6,5609,1718,65.048601,63.546538,75.752565,81.692597,90.588744,74.537275,47.605,60.567,80.103518,68.723111,68.37,86.911265,65.922666,72.157,94.183333,90.556888,93.269,68.411428,95.604444,95.8,78.29037,84.615555,81.92
6,5612,1718,90.773284,88.039192,90.367022,92.848504,92.716743,86.199337,91.285333,85.4945,82.820018,92.462666,86.2455,89.707086,94.957333,87.7105,92.0652,89.28,99.111,84.729642,98.408888,100,81.087037,94.362222,97.78
8,5614,1718,75.680085,76.522838,76.320403,84.080849,86.901657,85.324722,69.08,84.2285,82.139856,77.32,73.2095,82.89816,87.18175,84.202,85.547037,91.532444,87.118,83.006976,94.106666,87.73,81.991379,94.906666,83.2
8,5630,1718,62.666531,59.442982,59.063446,65.04358,72.002362,66.715863,35.44975,65.1175,61.958758,52.48,53.470333,66.541281,54.4345,57.059,75.644888,74.275111,59.4925,62.295348,81.084444,66.23,66.448928,83.937777,70.7
6,5649,1718,92.092152,88.241394,92.355974,90.859372,92.853832,89.804764,88.200333,88.606,86.895932,95.177777,90.8985,89.310814,83.254666,90.7785,91.383333,91.974666,92.7885,86.063214,86.871111,78.32,83.278888,90.006666,86.76
6,5650,1718,93.654955,94.326849,95.871535,96.928223,97.926795,92.004616,95.803333,97.2455,91.354728,97.886666,98.157,94.832516,97.823407,96.767,97.256666,98.948222,99.102,89.693214,98.631111,100,90.104814,96.792222,95.51
6,5659,1718,84.091029,85.42783,90.60938,89.040598,91.163787,85.451659,78.371,84.8165,88.846178,92.273777,82.273,88.109089,86.481926,85.2225,93.405,88.201777,88.557,79.803571,96.715555,97.73,88.841851,85.677777,84.64
6,5663,1718,81.163047,79.753554,83.700855,87.93181,91.705369,85.537555,79.954667,75.8405,79.221759,81.336444,78.9595,87.907379,89.642962,79.7145,91.233333,94.307111,96.1545,81.577142,94.56,100,74.243333,94.575555,95.46
6,5672,1718,84.134535,86.042622,89.863298,90.851326,95.813037,83.261605,87.807,71.0665,78.945197,95.706666,87.0795,84.479596,96.804148,78.0455,94.656666,96.839555,96.3165,78.236428,93.617777,91.61,77.658148,96.231111,91.06
6,5690,1718,83.914651,85.314971,87.267926,90.431182,89.455093,87.448567,79.3585,85.085,86.509685,78.385333,88.516,89.508531,84.634666,95.407,87.4552,86.411555,96.699,86.123214,90.942222,95.45,85.355185,89.095555,90.22
10,5703,1718,77.520826,77.886758,79.391744,80.742984,75.14049,77.781166,71.5845,76.75,75.143054,79.45925,84.453,81.465736,75.8785,85.573,78.598329,61.256333,80.31,73.29093,72.26,63.7,78.210232,58.87,78.12
8,5708,1718,91.119482,92.759197,94.436399,94.755082,96.846645,88.554287,95.555667,97.01,91.451216,95.886,98.007,90.090806,94.015,97.312,94.000407,96.356888,97.594,87.378139,99.444444,95.46,92.323793,99.055555,99.42
6,5719,1718,86.762397,84.673133,89.290105,94.503135,95.379296,82.995367,84.572667,91.599,81.088499,96.676888,88.217,90.390053,97.545481,96.081,93.8252,99.553777,97.6105,81.833214,99.444444,98.08,74.85074,98.382222,91.11
6,5724,1718,75.415701,71.221568,80.337952,84.416264,92.532676,76.813975,54.881,67.2105,78.46174,74.055111,68.3005,83.213823,83.925407,79.3635,92.186866,94.411111,94.1125,78.898928,93.991111,93.53,80.013703,99.022222,81.43
6,5725,1718,86.93127,84.230629,90.252167,91.959552,95.03881,86.235775,73.363667,78.388,84.359623,87.168,86.9315,90.699722,86.944888,88.633,97.263333,97.315555,96.631,87.282142,98.76,93.18,86.045185,97.684444,95.65
6,5751,1718,65.535141,62.673294,76.052548,80.243359,81.512089,65.887082,45.945,55.68,73.705654,70.065333,68.883,77.127217,73.098073,84.327,73.167066,84.561777,83.497,68.513928,79.52,82,75.771481,73.254444,68.19
6,5752,1718,74.29,72.20603,80.345123,87.392724,88.430843,76.787298,76.042667,75.105,75.239178,79.308,84.149,85.372654,82.045629,85.0355,86.533533,84.532444,97.8105,64.736071,53.306666,92.31,70.845925,91.448888,97.83
6,5755,1718,75.796167,74.540822,78.783185,82.627686,84.439727,84.858216,70.626333,81.629,86.355561,77.143555,75.308,84.714248,75.984444,89.17,88.915066,80.591555,91.367,88.781785,84.12,96.16,84.439629,73.244444,83.4
6,5756,1718,75.414003,78.661442,84.076256,88.544124,89.355152,82.913812,69.022,84.2765,77.065716,77.798666,86.936,82.452031,91.727851,91.4085,86.313533,94.321333,95.2,82.909642,87.635555,91.61,81.813333,87.022222,87.8
6,5757,1718,64.930737,68.349134,74.581307,79.859933,87.551798,72.712429,56.874667,74.5925,68.910876,75.384888,60.2785,80.531193,83.790518,65.593,94.716666,84.794222,NULL,74.113928,86.742222,NULL,75.504444,70.557777,NULL
6,5758,1718,66.357603,70.135906,73.554064,83.649436,85.039308,75.197659,60.572333,71.6455,69.187709,69.256888,69.1505,84.004415,83.489629,79.995,94.648148,70.872888,NULL,73.579642,84.457777,NULL,63.28,85.233333,NULL
6,5763,1718,97.917715,95.532738,98.410714,97.999671,97.595529,95.566026,90.342,99.392,96.743135,98.885777,100,96.659487,98.05037,97.3245,97.543333,96.899555,99.162,95.9325,97.724444,98.08,96.188888,98.071111,97.73
